입력주소,X,Y
 경기도 수원시 장안구 영화동정조로933번길3 ,37.303496,127.009689
 경기도 수원시 장안구 영화동팔달로201 ,37.303496,127.009689
 경기도 수원시 장안구 연무동연무경성아파트 ,37.293002,127.02424
 경기도 수원시 권선구 권선동권선사거리 ,37.250015,127.026903
 경기도 수원시 팔달구 매향동화성관광안내소 ,37.285567,127.020818
 경기도 수원시 영통구 원천동아주대삼거리 ,37.273201,127.057003
 경기도 수원시 영통구 매탄동법원사거리 ,37.261728,127.048939
 경기도 성남시 수정구 신흥동신흥사거리 ,37.446887,127.146472
 경기도 성남시 중원구 성남동모란삼거리 ,37.431369,127.132716
 경기도 성남시 중원구 성남동성일중고앞사거리 ,37.431369,127.132716
 경기도 성남시 중원구 상대원동금상로771 ,37.430645,127.13712
 경기도 성남시 중원구 은행동은이로24 ,37.430645,127.13712
 경기도 성남시 분당구 금곡동미금역사거리 ,37.357841,127.097745
 경기도 성남시 분당구 서현동중앙공원로39번길49 ,37.382754,127.118924
 경기도 의정부시 의정부동의정부제일시장입구 ,37.737474,127.042216
 경기도 의정부시 호원동회룡교 ,37.712317,127.034374
 경기도 의정부시 가능동가능초등학교앞 ,37.744153,127.020594
 경기도 의정부시 가능동푸른내과앞 ,37.744153,127.020594
 경기도 의정부시 의정부동안암한의원앞 ,37.737474,127.042216
 경기도 의정부시 금오동호국로1366 ,37.738064,127.033903
 경기도 안양시 만안구 박달동안양대교 ,37.396564,126.889541
 경기도 안양시 만안구 안양동삼덕제지삼거리 ,37.388556,126.916118
 경기도 안양시 만안구 안양동삼덕로22 ,37.386587,126.932351
 경기도 안양시 동안구 호계동시민대로175 ,37.392514,126.951284
 경기도 안양시 동안구 관양동관평로330 ,37.392514,126.951284
 경기도 부천시 심곡본동심곡고가차도 ,37.478378,126.779804
 경기도 부천시 괴안동괴안사거리 ,37.481077,126.812153
 경기도 부천시 고강동고강사거리 ,37.532105,126.815135
 경기도 부천시 심곡본동세멜레피부관리실 ,37.478378,126.779804
 경기도 부천시 중동정말문예사거리 ,37.50353,126.766332
 경기도 부천시 심곡동전화국사거리 ,37.489202,126.780929
 경기도 부천시 소사본동소중삼길사거리 ,37.473464,126.795327
 경기도 부천시 역곡동역곡파출소입구 ,37.490239,126.807485
 경기도 부천시 원종동원종사거리 ,37.527003,126.804106
 경기도 부천시 원종동성지빌라3 ,37.524171,126.800316
 경기도 부천시 원미동원미구청삼거리 ,37.494708,126.792397
 경기도 광명시 광명동광명6동삼거리 ,37.471701,126.852627
 경기도 광명시 광명동구로구광명시경계1 ,37.471701,126.852627
 경기도 평택시 지산동보떼 ,37.075864,127.079414
 경기도 평택시 비전동평택2로132 ,36.992286,127.112664
 경기도 평택시 신대동평택로189 ,36.992286,127.112664
