장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
01,동부노인복지회관,경기도,남양주시,41360,경기도 남양주시 수동면 비룡로 801-47,경기도 남양주시 수동면 운수리 361번지,37.710005,127.320459,30,남양주시청,031-590-2438,남양주경찰서,Y,2,6,2020-01-29
01,팔야1리 경로당,경기도,남양주시,41360,경기도 남양주시 진접읍 팔야로 130,경기도 남양주시 진접읍 팔야리 330-2번지,37.749959,127.222674,30,남양주시청,031-590-2438,남양주경찰서,Y,1,10,2020-01-29
02,신망애재활원,경기도,남양주시,41360,경기도 남양주시 수동면 비룡로972번길 17,경기도 남양주시 수동면 입석리 522-2번지,37.721139,127.315243,30,남양주시청,031-590-2438,남양주경찰서,N,0,4,2020-01-29
02,호세아동산,경기도,남양주시,41360,경기도 남양주시 수동면 소래비로 470-19,경기도 남양주시 수동면 송천리 452-1번지,37.687712,127.327462,30,남양주시청,031-590-2438,남양주경찰서,N,0,8,2020-01-29
01,동패1통 경로당,경기도,파주시,41480,경기도 파주시 교하로 456,경기도 파주시 동패동 1345번지,37.70514443,126.7284421,30,경기도 파주시,031-940-5822,파주경찰서,N,,10,2020-03-23
01,우양의집,경기도,파주시,41480,경기도 파주시 하지석길 267-74,경기도 파주시 하지석동 267번지,37.761054,126.7508805,30,경기도 파주시,031-940-5823,파주경찰서,N,,4,2020-03-23
01,하지석리 경로당,경기도,파주시,41480,경기도 파주시 하지석길 263,경기도 파주시 하지석동 229-8번지,37.75987344,126.7481972,30,경기도 파주시,031-940-5821,파주경찰서,N,,5,2020-03-23
01,장산1리 경로당,경기도,파주시,41480,경기도 파주시 문산읍 장산로 200,경기도 파주시 문산읍 장산리 323-13번지,37.89998945,126.7766956,30,경기도 파주시,031-940-5825,파주경찰서,Y,1,7,2020-03-23
01,가야3리 경로당,경기도,파주시,41480,경기도 파주시 법원읍 자운서원로9번길 21,경기도 파주시 법원읍 가야리 54-64번지,37.8505269,126.8693536,30,경기도 파주시,031-940-5827,파주경찰서,N,,10,2020-03-23
01,파주5리 경로당,경기도,파주시,41480,경기도 파주시 파주읍 우계로 86-8,경기도 파주시 파주읍 파주리 418-3번지,37.8342147,126.817532,30,경기도 파주시,031-940-5828,파주경찰서,Y,1,8,2020-03-23
01,봉암1리 경로당,경기도,파주시,41480,경기도 파주시 파주읍 주라위1길 10,경기도 파주시 파주읍 봉암리 509-3번지,37.8160523,126.7960055,30,경기도 파주시,031-940-5829,파주경찰서,Y,1,8,2020-03-23
01,오금1리 경로당,경기도,파주시,41480,경기도 파주시 탄현면 오금로134번길 3,경기도 파주시 탄현면 오금리 404-5번지,37.8247332,126.707825,30,경기도 파주시,031-940-5830,파주경찰서,N,,5~7,2020-03-23
01,가월리 경로당,경기도,파주시,41480,경기도 파주시 적성면 달빛길 81,경기도 파주시 적성면 가월리 116-4번지,37.97780751,126.9165754,30,경기도 파주시,031-940-5831,파주경찰서,N,,7,2020-03-23
01,구읍1리 경로당,경기도,파주시,41480,경기도 파주시 적성면 구읍로 108,경기도 파주시 적성면 구읍리 281-8번지,37.97521922,126.932154,30,경기도 파주시,031-940-5832,파주경찰서,N,,10,2020-03-23
01,문발1동 경로당,경기도,파주시,41480,경기도 파주시 교하로863번길 34,경기도 파주시 문발동 82번지,37.72554539,126.701341,30,경기도 파주시,031-940-5833,파주경찰서,N,,10,2020-03-23
01,남양주시 보훈요양원,경기도,남양주시,41360,경기도 남양주시 덕송2로 71,경기도 남양주시 별내동 819번지,37.669121,127.117706,30,남양주시청,031-590-2438,남양주경찰서,Y,1,35,2020-01-29
01,갈현1리 경로당,경기도,파주시,41480,경기도 파주시 탄현면 평화로 589,경기도 파주시 탄현면 갈현리 322-40번지,37.773321,126.7193173,30,경기도 파주시,031-940-5794,파주경찰서,Y,1,8~20,2020-03-23
01,검전리 경로당,경기도,파주시,41480,경기도 파주시 광탄면 혜음로 1444,경기도 파주시 광탄면 방축리 351-6번지,37.80940442,126.8493073,30,경기도 파주시,031-940-5795,파주경찰서,N,,8,2020-03-23
