field_1,제한속도_평균,제한속도_최대,단속카메라수
0,60,60,1
1,60,60,2
2,0,0,0
3,0,0,0
4,60,60,2
5,60,60,1
6,0,0,0
7,30,30,1
8,60,60,2
9,60,60,1
10,60,60,1
11,60,60,3
12,0,0,0
13,0,0,0
14,60,60,1
15,0,0,0
16,60,60,1
17,60,60,1
18,60,60,1
19,0,0,0
20,0,0,0
21,60,60,1
22,0,0,0
23,60,60,1
24,56.66666667,60,3
25,0,0,0
26,60,60,1
27,0,0,0
28,60,60,2
29,60,60,1
30,0,0,0
31,0,0,0
32,0,0,0
33,60,60,1
34,60,60,1
35,60,60,3
36,0,0,0
37,60,60,2
38,60,60,1
39,60,60,1
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,56.66666667,60,3
46,56.66666667,60,3
47,0,0,0
48,60,60,1
49,60,60,1
50,60,60,1
51,56.66666667,60,3
52,60,60,2
53,0,0,0
54,0,0,0
55,0,0,0
56,60,60,1
57,0,0,0
58,0,0,0
59,0,0,0
60,30,30,1
61,60,60,2
62,60,60,1
63,60,60,2
64,60,60,1
65,60,60,1
66,30,30,1
67,60,60,1
68,60,60,1
69,60,60,2
70,60,60,1
71,30,30,1
72,0,0,0
73,60,60,1
74,0,0,0
75,60,60,1
76,0,0,0
77,60,60,2
78,56.66666667,60,3
79,60,60,1
80,0,0,0
81,60,60,1
82,0,0,0
83,60,60,2
84,56.66666667,60,3
85,60,60,2
86,60,60,1
87,60,60,1
88,60,60,1
89,0,0,0
90,60,60,1
91,60,60,1
92,60,60,2
93,60,60,1
94,60,60,1
95,60,60,2
96,60,60,3
97,60,60,1
98,60,60,1
99,60,60,1
100,0,0,0
101,0,0,0
102,0,0,0
103,60,60,2
104,60,60,1
105,60,60,2
106,60,60,1
107,0,0,0
108,60,60,1
109,30,30,1
110,0,0,0
111,60,60,1
112,60,60,1
113,0,0,0
114,60,60,3
115,60,60,2
116,0,0,0
117,0,0,0
118,60,60,4
119,60,60,1
120,60,60,1
121,45,60,2
122,60,60,1
123,60,60,1
124,60,60,2
125,0,0,0
126,0,0,0
127,60,60,2
128,60,60,2
129,60,60,2
130,70,70,1
131,60,60,2
132,0,0,0
133,0,0,0
134,60,60,2
135,60,60,2
136,45,60,2
137,45,60,2
138,60,60,4
139,0,0,0
140,0,0,0
141,0,0,0
142,60,60,2
143,0,0,0
144,60,60,3
145,60,60,1
146,52.5,60,4
147,60,60,3
148,60,60,2
149,52.5,60,4
150,60,60,1
151,60,60,1
152,60,60,1
153,60,60,2
154,45,60,2
155,45,60,2
156,0,0,0
157,0,0,0
158,60,60,1
159,60,60,3
160,60,60,1
161,60,60,1
162,60,60,1
163,60,60,1
164,60,60,1
165,0,0,0
166,60,60,2
167,60,60,2
168,45,60,2
169,60,60,1
170,60,60,1
171,60,60,2
172,60,60,2
173,60,60,3
174,60,60,2
175,45,60,2
176,60,60,2
177,0,0,0
178,60,60,4
179,60,60,2
180,60,60,1
181,60,60,2
182,60,60,4
183,0,0,0
184,60,60,2
185,60,60,2
186,0,0,0
187,60,60,1
188,52.5,60,4
189,0,0,0
190,60,60,2
191,60,60,3
192,0,0,0
193,60,60,3
194,0,0,0
195,60,60,1
196,0,0,0
197,60,60,2
198,60,60,1
199,60,60,3
200,60,60,1
201,60,60,1
202,60,60,2
203,0,0,0
204,60,60,1
205,0,0,0
206,60,60,1
207,65,70,2
208,60,60,1
209,0,0,0
210,60,60,1
211,60,60,2
212,0,0,0
213,70,70,1
214,60,60,1
215,60,60,1
216,60,60,2
217,60,60,3
218,60,60,3
219,60,60,1
220,0,0,0
221,60,60,1
222,60,60,2
223,65,70,2
224,60,60,1
225,53.33333333,70,3
226,60,60,3
227,60,60,3
228,60,60,2
229,60,60,1
230,60,60,1
231,60,60,2
232,0,0,0
233,0,0,0
234,60,60,1
235,0,0,0
236,60,60,1
237,60,60,1
238,60,60,1
239,0,0,0
240,60,60,1
241,60,60,1
242,0,0,0
243,65,70,2
244,65,70,2
245,60,60,1
246,60,60,1
247,60,60,3
248,60,60,1
249,0,0,0
250,56.66666667,60,3
251,60,60,2
252,60,60,1
253,45,60,2
254,60,60,1
255,0,0,0
256,60,60,1
257,0,0,0
258,60,60,3
259,0,0,0
260,60,60,1
261,0,0,0
262,60,60,1
263,60,60,1
264,0,0,0
265,60,60,1
266,60,60,1
267,60,60,1
268,0,0,0
269,60,60,1
270,0,0,0
271,60,60,1
272,60,60,2
273,0,0,0
274,60,60,1
275,60,60,1
276,56.66666667,60,3
277,60,60,1
278,60,60,1
279,30,30,1
280,0,0,0
281,60,60,3
282,60,60,1
283,60,60,3
284,0,0,0
285,60,60,1
286,60,60,1
287,60,60,1
288,0,0,0
289,60,60,1
290,60,60,2
291,0,0,0
292,0,0,0
293,60,60,2
294,60,60,1
295,0,0,0
296,0,0,0
297,30,30,1
298,60,60,2
299,60,60,2
300,0,0,0
301,0,0,0
302,0,0,0
303,60,60,1
304,60,60,3
305,60,60,1
306,0,0,0
307,0,0,0
308,60,60,1
309,0,0,0
310,60,60,1
311,0,0,0
312,60,60,1
313,0,0,0
314,60,60,1
315,60,60,1
316,0,0,0
317,0,0,0
318,60,60,1
319,0,0,0
320,0,0,0
321,60,60,1
322,60,60,2
323,60,60,1
324,56.66666667,60,3
325,60,60,3
326,60,60,1
327,60,60,1
328,0,0,0
329,0,0,0
330,60,60,1
331,60,60,2
332,60,60,1
333,0,0,0
334,60,60,2
335,0,0,0
336,60,60,1
337,0,0,0
338,0,0,0
339,60,60,2
340,60,60,2
341,60,60,2
342,60,60,2
343,60,60,1
344,60,60,1
345,0,0,0
346,60,60,2
347,60,60,2
348,0,0,0
349,30,30,1
350,60,60,1
351,56.66666667,60,3
352,60,60,1
353,60,60,1
354,60,60,3
355,30,30,1
356,60,60,1
357,60,60,2
358,60,60,1
359,60,60,1
360,60,60,1
361,60,60,1
362,60,60,1
363,60,60,2
364,0,0,0
365,60,60,1
366,60,60,1
367,0,0,0
368,60,60,1
369,60,60,1
370,60,60,2
371,0,0,0
372,60,60,1
373,60,60,2
374,60,60,2
375,0,0,0
376,0,0,0
377,60,60,1
378,60,60,2
379,60,60,2
380,56.66666667,60,3
381,0,0,0
382,60,60,1
383,60,60,1
384,60,60,1
385,60,60,1
386,60,60,1
387,60,60,3
388,60,60,1
389,60,60,1
390,60,60,2
391,0,0,0
392,60,60,1
393,60,60,1
394,60,60,1
395,60,60,1
396,60,60,4
397,60,60,2
398,60,60,1
399,0,0,0
400,0,0,0
401,0,0,0
402,52.5,60,4
403,60,60,4
404,0,0,0
405,45,60,2
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,60,60,2
411,60,60,1
412,60,60,2
413,0,0,0
414,0,0,0
415,60,60,3
416,0,0,0
417,0,0,0
418,0,0,0
419,60,60,1
420,0,0,0
421,60,60,4
422,60,60,4
423,60,60,2
424,60,60,3
425,60,60,1
426,60,60,2
427,0,0,0
428,60,60,3
429,60,60,2
430,60,60,2
431,60,60,1
432,60,60,1
433,60,60,3
434,60,60,3
435,45,60,4
436,0,0,0
437,60,60,2
438,70,70,1
439,45,60,2
440,60,60,1
441,60,60,1
442,60,60,2
443,0,0,0
444,0,0,0
445,70,70,1
446,0,0,0
447,60,60,1
448,0,0,0
449,60,60,2
450,60,60,3
451,60,60,1
452,60,60,1
453,60,60,2
454,60,60,1
455,60,60,1
456,60,60,2
457,60,60,2
458,45,60,2
459,60,60,3
460,60,60,2
461,60,60,1
462,60,60,1
463,60,60,3
464,60,60,1
465,60,60,1
466,60,60,1
467,60,60,1
468,0,0,0
469,60,60,3
470,60,60,3
471,60,60,2
472,60,60,1
473,60,60,3
474,60,60,1
475,60,60,2
476,60,60,2
477,60,60,1
478,60,60,1
479,0,0,0
480,60,60,1
481,60,60,1
482,60,60,2
483,45,60,2
484,60,60,1
485,60,60,2
486,60,60,5
487,60,60,2
488,60,60,1
489,60,60,2
490,0,0,0
491,60,60,1
492,60,60,1
493,60,60,1
494,60,60,1
495,60,60,1
496,60,60,1
497,0,0,0
498,60,60,1
499,65,70,2
500,0,0,0
501,0,0,0
502,60,60,1
503,60,60,1
504,60,60,1
505,60,60,1
506,75,80,2
507,0,0,0
508,60,60,1
509,0,0,0
510,60,60,2
511,0,0,0
512,0,0,0
513,0,0,0
514,0,0,0
515,60,60,1
516,0,0,0
517,60,60,1
518,65,70,2
519,60,60,1
520,80,80,1
521,60,60,1
522,60,60,1
523,60,60,1
524,60,60,1
525,60,60,1
526,60,60,2
527,0,0,0
528,60,60,2
529,60,60,1
530,0,0,0
531,60,60,4
532,0,0,0
533,60,60,3
534,0,0,0
535,60,60,1
536,60,60,3
537,0,0,0
538,60,60,1
539,60,60,3
540,0,0,0
541,60,60,1
542,60,60,2
543,30,30,1
544,60,60,1
545,60,60,1
546,60,60,1
547,60,60,1
548,0,0,0
549,0,0,0
550,60,60,1
551,60,60,1
552,60,60,1
553,30,30,1
554,0,0,0
555,50,60,3
556,60,60,2
557,60,60,2
558,0,0,0
559,60,60,1
560,60,60,2
561,60,60,1
562,60,60,2
563,60,60,2
564,60,60,3
565,0,0,0
566,60,60,1
567,0,0,0
568,0,0,0
569,56.66666667,60,3
570,60,60,2
571,0,0,0
572,60,60,1
573,0,0,0
574,56.66666667,60,3
575,0,0,0
576,60,60,2
577,0,0,0
578,60,60,1
579,60,60,2
580,60,60,1
581,60,60,2
582,60,60,1
583,60,60,1
584,60,60,2
585,60,60,3
586,0,0,0
587,60,60,3
588,60,60,2
589,60,60,1
590,60,60,2
591,30,30,1
592,0,0,0
593,60,60,1
594,60,60,1
