,가해자성별,교차로형태,기상상태,노면상태,노면상태_대분류,노인보호구역,당사자종별가해자,당사자종별피해자,도로선형,도로선형_대분류,도로선형_중분류,도로종류,도로형태,법규위반가해자,보호장구가해자_대분류,보호장구피해자_대분류,사고유형,사고유형_대분류,어린이보호구역,연령가해자,연령피해자,요일,주야,차량용도가해자,차량용도가해자_대분류,차량용도피해자,차량용도피해자_대분류,피해자성별,행동유형가해자,행동유형피해자,행동유형피해자_대분류,도로심각도지수basic
4,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,40,84,금,주,사업용 렌터카,사업용,보행자,보행자,여,후진중,보행자 등지고통행중차도,보행자,0.1168
17,남,교차로아님,흐림,젖음습기,포장 젖음습기,아니오,중형,보행자,평지,직선,직선,시도,횡단보도상,신호위반,안전벨트카시트,보행자,보도통행중,차대사람 보도통행중,아니오,54,64,월,주,사업용 법인택시,사업용,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
20,여,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,44,69,월,야,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타횡단중,보행자,0.1168
66,남,교차로아님,맑음,건조,포장 건조,아니오,소형,보행자,평지,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,34,79,토,주,사업용 일반화물,사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.0068
102,남,교차로사지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,신호위반,안전모,보행자,기타불명,차대사람,아니오,18,69,목,주,이륜차,이륜차,보행자,보행자,여,직진중,보행자 횡단보도횡단중,보행자,0.0068
105,남,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,횡단중,차대사람 횡단중,아니오,52,64,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 등지고통행중차도,보행자,0.0068
118,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,오르막,직선,직선,시도,기타단일로,안전운전의무불이행,안전벨트카시트,보행자,기타불명,차대사람,아니오,52,60,월,주,비사업용 승용차,비사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,0.0068
122,남,교차로아님,맑음,건조,포장 건조,아니오,대형,보행자,평지,직선,직선,시도,횡단보도상,기타불명,안전벨트카시트,보행자,기타불명,차대사람,아니오,50,78,화,주,사업용 용달화물,사업용,보행자,보행자,여,후진중,보행자 기타불명,보행자,0.1168
132,여,교차로삼지,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,시도,교차로내,안전운전의무불이행,안전벨트카시트,보행자,차도통행중,차대사람 차도통행중,아니오,43,72,목,주,비사업용 승용차,비사업용,보행자,보행자,여,좌우회전중,보행자 기타불명,보행자,0.1168
148,남,교차로아님,맑음,건조,포장 건조,아니오,중형,보행자,평지,직선,직선,기타불명,기타단일로,안전운전의무불이행,기타불명,보행자,기타불명,차대사람,아니오,46,60,수,야,사업용 개인택시,사업용,보행자,보행자,남,직진중,보행자 기타불명,보행자,1.0
