field_1,사고건수,도로위험도
0,1,0.0068
1,4,0.4672
2,1,0.1168
3,4,0.4672
4,1,0.0068
5,8,0.0544
6,1,0.0068
7,1,0.1168
8,1,0.0068
9,3,0.3504
10,1,0.1168
11,1,0.1168
12,1,0.0068
13,1,0.0068
14,1,0.1168
15,1,0.1168
16,2,0.0136
17,3,0.0204
18,2,0.2336
19,1,0.0068
20,1,0.1168
21,3,3
22,1,0.1168
23,3,0.3504
24,3,0.3504
25,1,0.1168
26,2,0.2336
27,1,0.1168
28,5,0.618
29,8,0.0544
30,1,1
31,1,0.0068
32,1,0.1168
33,1,0.1168
34,1,0.0068
35,1,0.0068
36,2,0.2336
37,1,0.0068
38,1,0.0068
39,2,0.2336
40,1,1
41,1,0.0068
42,1,0.0068
43,1,0.0068
44,2,0.2336
45,1,0.0068
46,1,0.1168
47,1,0.1168
48,2,0.2336
49,1,0.0068
50,2,2
51,1,0.1168
52,2,0.2336
53,1,0.1168
54,1,0.1168
55,1,0.0068
56,3,0.0204
57,2,0.0136
58,3,0.0204
59,1,0.1168
60,1,0.1168
61,1,0.1168
62,1,0.0068
63,2,0.0136
64,2,0.2336
65,1,0.0068
66,2,0.0136
67,2,0.0136
68,1,0.0068
69,1,0.0068
70,2,0.0136
71,1,0.1168
72,1,0.0068
73,1,0.1168
74,2,0.2336
75,3,0.0204
76,1,0.0068
77,1,0.1168
78,1,0.1168
79,3,0.0204
80,1,0.1168
81,1,0.0068
82,3,0.0204
83,1,0.0068
84,1,0.0068
85,1,0.1168
86,2,0.0136
87,1,0.1201
88,1,0.1168
89,1,1
90,1,0.0068
91,1,0.0068
92,2,0.0136
93,1,0.0068
94,1,0.0068
95,2,0.0136
96,1,0.0068
97,2,0.0136
98,2,0.2336
99,1,0.1168
100,1,0.0068
101,1,0.1168
102,2,0.2336
103,2,0.0066
104,1,0.0068
105,4,0.0272
106,1,0.0068
107,1,0.0068
108,1,0.1168
109,1,0.0068
110,1,0.1168
111,2,0.0136
112,1,0.0068
113,1,0.1168
114,2,0.2336
115,6,0.0408
116,1,0.1168
117,1,0.1168
118,2,0.0136
119,3,0.0204
120,1,0.0068
121,1,0.0033
122,1,0.1168
123,1,0.0068
124,1,0.0068
125,3,0.3504
126,1,0.1236
127,1,0.0068
128,1,0.1168
129,1,0.1168
130,1,0.0068
131,1,0.1168
132,1,0.1168
133,1,0.0068
134,1,0.0068
135,1,0.0068
136,1,0.0068
137,1,0.0068
138,1,0.0068
139,1,0.1236
140,1,0.0068
141,3,0.3504
142,2,0.0136
143,1,0.1168
144,2,0.0136
145,1,0.0068
146,1,0.1168
147,1,0.0068
148,1,0.0068
149,1,0.1168
150,4,0.4672
151,4,0.0272
152,5,0.034
153,1,0.1168
154,1,0.1168
155,1,0.1168
156,1,0.0068
157,1,0.1168
158,2,0.0136
159,3,0.0204
160,2,0.0136
161,1,0.1168
162,1,0.0068
163,1,0.1168
164,1,0.1168
165,1,0.0068
166,4,0.4672
167,2,0.2336
168,1,0.0033
169,2,0.2336
170,2,0.2336
171,1,0.1168
172,1,0.0068
173,1,0.0068
174,2,0.0136
175,1,0.1168
176,1,0.0033
177,1,1
178,1,0.1168
179,1,0.1168
180,1,0.0068
181,1,0.1168
182,1,0.0068
183,2,0.2336
184,1,0.0068
185,1,0.1168
186,1,0.1168
187,1,0.0068
